row_id,prefix_end,prefix_text,current_token,stage,is_full_sentence,label,type,location,computed_location,cue_relative_position,global_prefix_id,sentence,location_matches,ambiguous_lemma,cue_start_lemma,cue_end_lemma,lemma_split,morphological_parsing,amb_char_start,amb_char_end,cue_char_start,cue_char_end,amb_tok_start,amb_tok_end,cue_tok_start,cue_tok_end,cue_length_tokens,ambiguity_length_tokens,token_distance,overlap,matched_ambiguous,matched_cue,amb_token_text,cue_token_text,n_tokens,tokens_json,tracked_token_index,tracked_token_text,tracked_region,ambiguity_vector_available
23,17,"Annen emir veriyor pilot olma, okuluna yazıl diye!",!,full_sentence,True,negation,semantic,before,before,-5,492,"Annen emir veriyor pilot olma, okuluna yazıl diye!",True,olma,emir,veriyor,ol-ma,ol-NEG.IMP.2SG,25,29,6,18,7,8,2,5,4,2,5,False,olma,emir veriyor,Ġol ma,Ġem ir Ġver iyor,18,"[""An"", ""nen"", ""Ġem"", ""ir"", ""Ġver"", ""iyor"", ""Ġpilot"", ""Ġol"", ""ma"", "","", ""Ġok"", ""ul"", ""una"", ""Ġyaz"", ""Ä±l"", ""Ġdi"", ""ye"", ""!""]",17,!,post_cue_or_post_ambiguity,True
36,16,"Seven merak eder, merak etme aşkın doğasında vardır.",.,full_sentence,True,nominalizer,semantic,before,before,-2,750,"Seven merak eder, merak etme aşkın doğasında vardır.",True,etme,merak,merak,et-me,et-NMLZ,24,28,18,23,8,9,6,7,2,2,2,False,etme,merak,Ġet me,Ġmer ak,17,"[""Seven"", ""Ġmer"", ""ak"", ""Ġed"", ""er"", "","", ""Ġmer"", ""ak"", ""Ġet"", ""me"", ""ĠaÅŁk"", ""Ä±n"", ""ĠdoÄŁ"", ""as"", ""Ä±nda"", ""ĠvardÄ±r"", "".""]",16,.,post_cue_or_post_ambiguity,True
113,35,"Eğer esnafın öfkesini üzerine çekmek istemiyorsan sana nasihatim belli canım evladım, fiyat kırma.",.,full_sentence,True,negation,semantic,before,before,-14,1820,"Eğer esnafın öfkesini üzerine çekmek istemiyorsan sana nasihatim belli canım evladım, fiyat kırma.",True,kırma,sana,fiyat,kır-ma,kır-NEG.IMP.2SG,92,97,50,91,32,34,18,31,14,3,14,False,kırma,"sana nasihatim belli canım evladım, fiyat",Ġk Ä±r ma,"Ġs ana Ġnas ihat im Ġb elli Ġcan Ä±m Ġev lad Ä±m , Ġfiyat",36,"[""E"", ""ÄŁer"", ""Ġes"", ""n"", ""af"", ""Ä±n"", ""ĠÃ¶"", ""f"", ""kes"", ""ini"", ""ĠÃ¼zerine"", ""ĠÃ§ek"", ""mek"", ""Ġist"", ""em"", ""iy"", ""ors"", ""an"", ""Ġs"", ""ana"", ""Ġnas"", ""ihat"", ""im"", ""Ġb"", ""elli"", ""Ġcan"", ""Ä±m"", ""Ġev"", ""lad"", ""Ä±m"", "","", ""Ġfiyat"", ""Ġk"", ""Ä±r"", ""ma"", "".""]",35,.,post_cue_or_post_ambiguity,True
114,18,"Bana bak müdür müsveddesi, Lenin hakkında ileri geri konuşma!",!,full_sentence,True,negation,semantic,before,before,-6,1839,"Bana bak müdür müsveddesi, Lenin hakkında ileri geri konuşma!",True,konuşma,Lenin,geri,konuş-ma,konuş-NEG.IMP.2SG,53,60,27,52,17,17,11,16,6,1,6,False,konuşma,Lenin hakkında ileri geri,ĠkonuÅŁma,ĠLenin ĠhakkÄ±nda Ġil eri Ġger i,19,"[""B"", ""ana"", ""Ġbak"", ""ĠmÃ¼"", ""dÃ¼r"", ""ĠmÃ¼"", ""s"", ""ved"", ""des"", ""i"", "","", ""ĠLenin"", ""ĠhakkÄ±nda"", ""Ġil"", ""eri"", ""Ġger"", ""i"", ""ĠkonuÅŁma"", ""!""]",18,!,post_cue_or_post_ambiguity,True
117,40,"Millet eline bayrak verdiyse o bayrağı bırakmayacaksın, döneklik yapma milletin sana en çok ihtiyacı olan şu günlerde.",.,full_sentence,True,negation,semantic,before,before,-14,1921,"Millet eline bayrak verdiyse o bayrağı bırakmayacaksın, döneklik yapma milletin sana en çok ihtiyacı olan şu günlerde.",True,yapma,o,döneklik,yap-ma,yap-NEG.IMP.2SG,65,70,29,64,25,26,11,24,14,2,14,False,yapma,"o bayrağı bırakmayacaksın, döneklik",Ġyap ma,"Ġo Ġbay ra ÄŁÄ± ĠbÄ±rak may ac aks Ä±n , Ġd Ã¶ nek lik",41,"[""M"", ""illet"", ""Ġel"", ""ine"", ""Ġbay"", ""r"", ""ak"", ""Ġver"", ""di"", ""y"", ""se"", ""Ġo"", ""Ġbay"", ""ra"", ""ÄŁÄ±"", ""ĠbÄ±rak"", ""may"", ""ac"", ""aks"", ""Ä±n"", "","", ""Ġd"", ""Ã¶"", ""nek"", ""lik"", ""Ġyap"", ""ma"", ""Ġmil"", ""let"", ""in"", ""Ġs"", ""ana"", ""Ġen"", ""ĠÃ§ok"", ""ĠihtiyacÄ±"", ""Ġolan"", ""ĠÅŁu"", ""ĠgÃ¼n"", ""ler"", ""de"", "".""]",40,.,post_cue_or_post_ambiguity,True
118,45,"Ruhi Su’nun en bilinen eserlerinden biri olan bu parça, Gülcan Altan’ın yeni yorumuyla bugün dinleyiciyle buluştu, dinleme fırsatını kaçırma!",!,full_sentence,True,negation,semantic,before,before,-5,1967,"Ruhi Su’nun en bilinen eserlerinden biri olan bu parça, Gülcan Altan’ın yeni yorumuyla bugün dinleyiciyle buluştu, dinleme fırsatını kaçırma!",True,kaçırma,dinleme,fırsatını,kaçır-ma,kaçır-NEG.IMP.2SG,133,140,115,132,42,44,37,41,5,3,5,False,kaçırma,dinleme fırsatını,ĠkaÃ§ Ä±r ma,Ġdin le me ĠfÄ±rsat Ä±nÄ±,46,"[""Ru"", ""hi"", ""ĠSu"", ""âĢĻn"", ""un"", ""Ġen"", ""Ġbil"", ""inen"", ""Ġes"", ""er"", ""ler"", ""inden"", ""Ġbir"", ""i"", ""Ġolan"", ""Ġbu"", ""ĠparÃ§a"", "","", ""ĠGÃ¼l"", ""can"", ""ĠAlt"", ""an"", ""âĢĻ"", ""Ä±n"", ""Ġyeni"", ""Ġy"", ""orum"", ""u"", ""yla"", ""ĠbugÃ¼n"", ""Ġdin"", ""ley"", ""ici"", ""yle"", ""ĠbuluÅŁ"", ""tu"", "","", ""Ġdin"", ""le"", ""me"", ""ĠfÄ±rsat"", ""Ä±nÄ±"", ""ĠkaÃ§"", ""Ä±r"", ""ma"", ""!""]",45,!,post_cue_or_post_ambiguity,True
119,24,"Halka yalan söylemek suçtur, suç işleme, sen ahlaksız bir adam değilsin.",.,full_sentence,True,negation,semantic,before,before,-11,1992,"Halka yalan söylemek suçtur, suç işleme, sen ahlaksız bir adam değilsin.",True,işleme,Halka,suç,işle-me,işle-NEG.IMP.2SG,33,39,0,32,11,12,0,10,11,2,11,False,işleme,"Halka yalan söylemek suçtur, suç",ĠiÅŁle me,"H alk a Ġy alan ĠsÃ¶yle mek ĠsuÃ§ tur , ĠsuÃ§",25,"[""H"", ""alk"", ""a"", ""Ġy"", ""alan"", ""ĠsÃ¶yle"", ""mek"", ""ĠsuÃ§"", ""tur"", "","", ""ĠsuÃ§"", ""ĠiÅŁle"", ""me"", "","", ""Ġsen"", ""Ġa"", ""hl"", ""aks"", ""Ä±z"", ""Ġbir"", ""Ġadam"", ""ĠdeÄŁ"", ""ils"", ""in"", "".""]",24,.,post_cue_or_post_ambiguity,True
121,38,"Yok solucan olsam beni sever misin, yok 250 kilo olsam beni beğenir misin, adamı delirtme Emine!",!,full_sentence,True,negation,semantic,before,before,-19,2031,"Yok solucan olsam beni sever misin, yok 250 kilo olsam beni beğenir misin, adamı delirtme Emine!",True,delirtme,Yok,adamı,delirt-me,delirt-NEG.IMP.2SG,81,89,36,80,33,35,14,32,19,3,19,False,delirtme,"yok 250 kilo olsam beni beğenir misin, adamı",Ġdel irt me,"Ġyok Ġ 2 5 0 Ġkil o Ġo ls am Ġben i ĠbeÄŁen ir Ġmis in , Ġadam Ä±",39,"[""Y"", ""ok"", ""Ġsol"", ""uc"", ""an"", ""Ġo"", ""ls"", ""am"", ""Ġben"", ""i"", ""Ġsever"", ""Ġmis"", ""in"", "","", ""Ġyok"", ""Ġ"", ""2"", ""5"", ""0"", ""Ġkil"", ""o"", ""Ġo"", ""ls"", ""am"", ""Ġben"", ""i"", ""ĠbeÄŁen"", ""ir"", ""Ġmis"", ""in"", "","", ""Ġadam"", ""Ä±"", ""Ġdel"", ""irt"", ""me"", ""ĠEm"", ""ine"", ""!""]",38,!,post_cue_or_post_ambiguity,True
122,30,"Akademisyen dediğin yazdığı kadar da okur, okuma akademisyenin en önemli işlerinden biridir.",.,full_sentence,True,nominalizer,semantic,before,before,-7,2062,"Akademisyen dediğin yazdığı kadar da okur, okuma akademisyenin en önemli işlerinden biridir.",True,okuma,yazdığı,okur,oku-ma,oku-NMLZ,43,48,20,41,15,16,8,13,6,2,7,False,okuma,yazdığı kadar da okur,Ġok uma,Ġyaz dÄ±ÄŁÄ± Ġkadar Ġda Ġok ur,31,"[""Ak"", ""adem"", ""isy"", ""en"", ""Ġded"", ""i"", ""ÄŁ"", ""in"", ""Ġyaz"", ""dÄ±ÄŁÄ±"", ""Ġkadar"", ""Ġda"", ""Ġok"", ""ur"", "","", ""Ġok"", ""uma"", ""Ġak"", ""adem"", ""isy"", ""en"", ""in"", ""Ġen"", ""ĠÃ¶nemli"", ""ĠiÅŁ"", ""ler"", ""inden"", ""Ġbir"", ""id"", ""ir"", "".""]",30,.,post_cue_or_post_ambiguity,True
124,36,Ertesi günün gazete manşetleri gözünün önüne gelmeye başlamıştı bile: Karabatak davasında dudakları uçuklatan gelişme,ĠgeliÅŁme,full_sentence,True,nominalizer,semantic,before,before,-14,2119,Ertesi günün gazete manşetleri gözünün önüne gelmeye başlamıştı bile: Karabatak davasında dudakları uçuklatan gelişme,True,gelişme,Karabatak,uçuklatan,geliş-me,geliş-NMLZ,110,117,70,109,36,36,22,35,14,1,14,False,gelişme,Karabatak davasında dudakları uçuklatan,ĠgeliÅŁme,ĠKar ab atak Ġdav as Ä±nda Ġd ud ak larÄ± ĠuÃ§ uk lat an,37,"[""Er"", ""tes"", ""i"", ""ĠgÃ¼n"", ""Ã¼n"", ""Ġgaz"", ""ete"", ""Ġman"", ""ÅŁ"", ""et"", ""leri"", ""ĠgÃ¶z"", ""Ã¼nÃ¼n"", ""ĠÃ¶nÃ¼ne"", ""Ġgel"", ""meye"", ""ĠbaÅŁ"", ""lam"", ""Ä±ÅŁ"", ""tÄ±"", ""Ġbile"", "":"", ""ĠKar"", ""ab"", ""atak"", ""Ġdav"", ""as"", ""Ä±nda"", ""Ġd"", ""ud"", ""ak"", ""larÄ±"", ""ĠuÃ§"", ""uk"", ""lat"", ""an"", ""ĠgeliÅŁme""]",36,ĠgeliÅŁme,ambiguity,True
