row_id,prefix_end,prefix_text,current_token,stage,is_full_sentence,label,type,location,computed_location,cue_relative_position,global_prefix_id,sentence,location_matches,ambiguous_lemma,cue_start_lemma,cue_end_lemma,lemma_split,morphological_parsing,amb_char_start,amb_char_end,cue_char_start,cue_char_end,amb_tok_start,amb_tok_end,cue_tok_start,cue_tok_end,cue_length_tokens,ambiguity_length_tokens,token_distance,overlap,matched_ambiguous,matched_cue,amb_token_text,cue_token_text,n_tokens,tokens_json,tracked_token_index,tracked_token_text,tracked_region,ambiguity_vector_available
23,17,"Annen emir veriyor pilot olma, okuluna yazıl diye!",!,full_sentence,True,negation,semantic,before,before,-5,492,"Annen emir veriyor pilot olma, okuluna yazıl diye!",True,olma,emir,veriyor,ol-ma,ol-NEG.IMP.2SG,25,29,6,18,7,8,2,5,4,2,5,False,olma,emir veriyor,Ġol ma,Ġem ir Ġver iyor,18,"[""An"", ""nen"", ""Ġem"", ""ir"", ""Ġver"", ""iyor"", ""Ġpilot"", ""Ġol"", ""ma"", "","", ""Ġok"", ""ul"", ""una"", ""Ġyaz"", ""Ä±l"", ""Ġdi"", ""ye"", ""!""]",17,!,post_cue_or_post_ambiguity,True
36,16,"Seven merak eder, merak etme aşkın doğasında vardır.",.,full_sentence,True,nominalizer,semantic,before,before,-2,750,"Seven merak eder, merak etme aşkın doğasında vardır.",True,etme,merak,merak,et-me,et-NMLZ,24,28,18,23,8,9,6,7,2,2,2,False,etme,merak,Ġet me,Ġmer ak,17,"[""Seven"", ""Ġmer"", ""ak"", ""Ġed"", ""er"", "","", ""Ġmer"", ""ak"", ""Ġet"", ""me"", ""ĠaÅŁk"", ""Ä±n"", ""ĠdoÄŁ"", ""as"", ""Ä±nda"", ""ĠvardÄ±r"", "".""]",16,.,post_cue_or_post_ambiguity,True
46,13,"Hava çok soğuk, sen sakın evden çıkma.",.,full_sentence,True,negation,semantic,before,before,-5,937,"Hava çok soğuk, sen sakın evden çıkma.",True,çıkma,sen,evden,çık-ma,çık-NEG.IMP.2SG,32,37,16,31,12,12,7,11,5,1,5,False,çıkma,sen sakın evden,ĠÃ§Ä±kma,Ġsen Ġsak Ä±n Ġev den,14,"[""H"", ""ava"", ""ĠÃ§ok"", ""Ġso"", ""ÄŁ"", ""uk"", "","", ""Ġsen"", ""Ġsak"", ""Ä±n"", ""Ġev"", ""den"", ""ĠÃ§Ä±kma"", "".""]",13,.,post_cue_or_post_ambiguity,True
114,18,"Bana bak müdür müsveddesi, Lenin hakkında ileri geri konuşma!",!,full_sentence,True,negation,semantic,before,before,-6,1839,"Bana bak müdür müsveddesi, Lenin hakkında ileri geri konuşma!",True,konuşma,Lenin,geri,konuş-ma,konuş-NEG.IMP.2SG,53,60,27,52,17,17,11,16,6,1,6,False,konuşma,Lenin hakkında ileri geri,ĠkonuÅŁma,ĠLenin ĠhakkÄ±nda Ġil eri Ġger i,19,"[""B"", ""ana"", ""Ġbak"", ""ĠmÃ¼"", ""dÃ¼r"", ""ĠmÃ¼"", ""s"", ""ved"", ""des"", ""i"", "","", ""ĠLenin"", ""ĠhakkÄ±nda"", ""Ġil"", ""eri"", ""Ġger"", ""i"", ""ĠkonuÅŁma"", ""!""]",18,!,post_cue_or_post_ambiguity,True
115,40,"İran savaşı sadece İran’a karşı değil bütün insanlığa karşı açılmış bir savaşın ilk cephesi, Türkiye'yi bu savaşa taraf ya da dahil etme.",.,full_sentence,True,negation,semantic,before,before,-11,1880,"İran savaşı sadece İran’a karşı değil bütün insanlığa karşı açılmış bir savaşın ilk cephesi, Türkiye'yi bu savaşa taraf ya da dahil etme.",True,etme,Türkiye'yi,dahil,et-me,et-NEG.IMP.2SG,132,136,93,131,38,39,27,37,11,2,11,False,etme,Türkiye'yi bu savaşa taraf ya da dahil,Ġet me,ĠTÃ¼rkiye ' yi Ġbu ĠsavaÅŁ a Ġtaraf Ġya Ġda Ġdah il,41,"[""Ä°"", ""ran"", ""Ġs"", ""ava"", ""ÅŁÄ±"", ""Ġs"", ""ade"", ""ce"", ""ĠÄ°"", ""ran"", ""âĢĻa"", ""ĠkarÅŁÄ±"", ""ĠdeÄŁil"", ""ĠbÃ¼tÃ¼n"", ""Ġinsan"", ""lÄ±ÄŁa"", ""ĠkarÅŁÄ±"", ""ĠaÃ§"", ""Ä±lmÄ±ÅŁ"", ""Ġbir"", ""ĠsavaÅŁ"", ""Ä±n"", ""Ġilk"", ""Ġcep"", ""hes"", ""i"", "","", ""ĠTÃ¼rkiye"", ""'"", ""yi"", ""Ġbu"", ""ĠsavaÅŁ"", ""a"", ""Ġtaraf"", ""Ġya"", ""Ġda"", ""Ġdah"", ""il"", ""Ġet"", ""me"", "".""]",40,.,post_cue_or_post_ambiguity,True
117,40,"Millet eline bayrak verdiyse o bayrağı bırakmayacaksın, döneklik yapma milletin sana en çok ihtiyacı olan şu günlerde.",.,full_sentence,True,negation,semantic,before,before,-14,1921,"Millet eline bayrak verdiyse o bayrağı bırakmayacaksın, döneklik yapma milletin sana en çok ihtiyacı olan şu günlerde.",True,yapma,o,döneklik,yap-ma,yap-NEG.IMP.2SG,65,70,29,64,25,26,11,24,14,2,14,False,yapma,"o bayrağı bırakmayacaksın, döneklik",Ġyap ma,"Ġo Ġbay ra ÄŁÄ± ĠbÄ±rak may ac aks Ä±n , Ġd Ã¶ nek lik",41,"[""M"", ""illet"", ""Ġel"", ""ine"", ""Ġbay"", ""r"", ""ak"", ""Ġver"", ""di"", ""y"", ""se"", ""Ġo"", ""Ġbay"", ""ra"", ""ÄŁÄ±"", ""ĠbÄ±rak"", ""may"", ""ac"", ""aks"", ""Ä±n"", "","", ""Ġd"", ""Ã¶"", ""nek"", ""lik"", ""Ġyap"", ""ma"", ""Ġmil"", ""let"", ""in"", ""Ġs"", ""ana"", ""Ġen"", ""ĠÃ§ok"", ""ĠihtiyacÄ±"", ""Ġolan"", ""ĠÅŁu"", ""ĠgÃ¼n"", ""ler"", ""de"", "".""]",40,.,post_cue_or_post_ambiguity,True
119,24,"Halka yalan söylemek suçtur, suç işleme, sen ahlaksız bir adam değilsin.",.,full_sentence,True,negation,semantic,before,before,-11,1992,"Halka yalan söylemek suçtur, suç işleme, sen ahlaksız bir adam değilsin.",True,işleme,Halka,suç,işle-me,işle-NEG.IMP.2SG,33,39,0,32,11,12,0,10,11,2,11,False,işleme,"Halka yalan söylemek suçtur, suç",ĠiÅŁle me,"H alk a Ġy alan ĠsÃ¶yle mek ĠsuÃ§ tur , ĠsuÃ§",25,"[""H"", ""alk"", ""a"", ""Ġy"", ""alan"", ""ĠsÃ¶yle"", ""mek"", ""ĠsuÃ§"", ""tur"", "","", ""ĠsuÃ§"", ""ĠiÅŁle"", ""me"", "","", ""Ġsen"", ""Ġa"", ""hl"", ""aks"", ""Ä±z"", ""Ġbir"", ""Ġadam"", ""ĠdeÄŁ"", ""ils"", ""in"", "".""]",24,.,post_cue_or_post_ambiguity,True
121,38,"Yok solucan olsam beni sever misin, yok 250 kilo olsam beni beğenir misin, adamı delirtme Emine!",!,full_sentence,True,negation,semantic,before,before,-19,2031,"Yok solucan olsam beni sever misin, yok 250 kilo olsam beni beğenir misin, adamı delirtme Emine!",True,delirtme,Yok,adamı,delirt-me,delirt-NEG.IMP.2SG,81,89,36,80,33,35,14,32,19,3,19,False,delirtme,"yok 250 kilo olsam beni beğenir misin, adamı",Ġdel irt me,"Ġyok Ġ 2 5 0 Ġkil o Ġo ls am Ġben i ĠbeÄŁen ir Ġmis in , Ġadam Ä±",39,"[""Y"", ""ok"", ""Ġsol"", ""uc"", ""an"", ""Ġo"", ""ls"", ""am"", ""Ġben"", ""i"", ""Ġsever"", ""Ġmis"", ""in"", "","", ""Ġyok"", ""Ġ"", ""2"", ""5"", ""0"", ""Ġkil"", ""o"", ""Ġo"", ""ls"", ""am"", ""Ġben"", ""i"", ""ĠbeÄŁen"", ""ir"", ""Ġmis"", ""in"", "","", ""Ġadam"", ""Ä±"", ""Ġdel"", ""irt"", ""me"", ""ĠEm"", ""ine"", ""!""]",38,!,post_cue_or_post_ambiguity,True
123,19,"ARGE'nin anlamında ben araştırma var diye biliyorum, yanlış mıyım?",?,full_sentence,True,nominalizer,semantic,before,before,-6,2082,"ARGE'nin anlamında ben araştırma var diye biliyorum, yanlış mıyım?",True,araştırma,ARGE'nin,anlamında,araştır-ma,araştır-NMLZ,23,32,0,18,6,6,0,4,5,1,6,False,araştırma,ARGE'nin anlamında,ĠaraÅŁtÄ±rma,ARGE 'n in Ġanlam Ä±nda,20,"[""ARGE"", ""'n"", ""in"", ""Ġanlam"", ""Ä±nda"", ""Ġben"", ""ĠaraÅŁtÄ±rma"", ""Ġvar"", ""Ġdi"", ""ye"", ""Ġb"", ""ili"", ""y"", ""orum"", "","", ""ĠyanlÄ±ÅŁ"", ""Ġm"", ""Ä±y"", ""Ä±m"", ""?""]",19,?,post_cue_or_post_ambiguity,True
124,36,Ertesi günün gazete manşetleri gözünün önüne gelmeye başlamıştı bile: Karabatak davasında dudakları uçuklatan gelişme,ĠgeliÅŁme,full_sentence,True,nominalizer,semantic,before,before,-14,2119,Ertesi günün gazete manşetleri gözünün önüne gelmeye başlamıştı bile: Karabatak davasında dudakları uçuklatan gelişme,True,gelişme,Karabatak,uçuklatan,geliş-me,geliş-NMLZ,110,117,70,109,36,36,22,35,14,1,14,False,gelişme,Karabatak davasında dudakları uçuklatan,ĠgeliÅŁme,ĠKar ab atak Ġdav as Ä±nda Ġd ud ak larÄ± ĠuÃ§ uk lat an,37,"[""Er"", ""tes"", ""i"", ""ĠgÃ¼n"", ""Ã¼n"", ""Ġgaz"", ""ete"", ""Ġman"", ""ÅŁ"", ""et"", ""leri"", ""ĠgÃ¶z"", ""Ã¼nÃ¼n"", ""ĠÃ¶nÃ¼ne"", ""Ġgel"", ""meye"", ""ĠbaÅŁ"", ""lam"", ""Ä±ÅŁ"", ""tÄ±"", ""Ġbile"", "":"", ""ĠKar"", ""ab"", ""atak"", ""Ġdav"", ""as"", ""Ä±nda"", ""Ġd"", ""ud"", ""ak"", ""larÄ±"", ""ĠuÃ§"", ""uk"", ""lat"", ""an"", ""ĠgeliÅŁme""]",36,ĠgeliÅŁme,ambiguity,True
